日期,編號,項目,狀態,負責人,備註,單位,客戶,耗時分鐘,金額
6月12日,L260348,B 類,已結案,OP-108,,資材,捷欣,197,36.48
0622,L261149,A 類,,OP-107,待確認,資材,大宏,232,24.08
0625,L265319,B 類,不合格,OP-109,已回報,製造,東昇,20,36.54
6月15日,L265174,C 類,不合格,OP-138,,營運,大宏,156,12.83
0727,L268059,B 類,合格,OP-144,待確認,資材,順發,207,56.84
7月20日,L265990,B 類,不合格,OP-113,,製造,順發,118,35.61
2026/7/6,L262055,B 類,合格,OP-147,,製造,大宏,30,31.99
0701,L268237,B 類,已結案,OP-139,,品保,力鋼,228,69.22
0722,L260017,其他,合格,OP-110,待確認,營運,捷欣,114,11.61
7月16日,L268941,其他,合格,OP-141,待確認,品保,順發,194,52.54
2026/7/12,L264864,A 類,合格,OP-145,已回報,營運,永利,114,60.2
2026/7/4,L263189,A 類,,OP-115,,研發,力鋼,215,60.32
2026/7/21,L269176,C 類,合格,OP-108,,品保,大宏,111,20.51
2026/7/27,L269298,B 類,不合格,OP-105,已回報,製造,東昇,92,43.34
0615,L261417,B 類,待處理,OP-103,待確認,製造,東昇,238,21.55
0705,L263132,B 類,,OP-144,待確認,製造,力鋼,185,92.44
2026/6/24,L263773,A 類,已結案,OP-110,,營運,永利,114,65.17
0629,L264613,B 類,不合格,OP-118,待確認,資材,力鋼,231,2.38
0727,L264576,A 類,合格,OP-112,,品保,永利,76,19.65
7月8日,L268737,C 類,已結案,OP-119,,研發,順發,98,18.28
0717,L263065,A 類,不合格,OP-148,已回報,營運,順發,154,32.32
6月14日,L269823,C 類,合格,OP-105,,研發,東昇,109,28.41
7月10日,L263252,B 類,待處理,OP-118,,品保,順發,16,11.84
6月14日,L260744,B 類,不合格,OP-125,待確認,研發,東昇,9,60.48
7月26日,L263044,B 類,合格,OP-148,待確認,資材,捷欣,89,36.24
0704,L260496,A 類,,OP-129,待確認,營運,永利,63,80.68
2026/7/15,L268210,A 類,待處理,OP-128,已回報,品保,力鋼,43,7.43
0705,L269954,A 類,合格,OP-114,,研發,捷欣,103,49.27
0620,L265398,A 類,,OP-121,,製造,捷欣,227,14.55
6月28日,L269367,其他,已結案,OP-110,待確認,研發,永利,16,16.04
6月19日,L266298,B 類,,OP-130,,資材,永利,42,23.1
7月11日,L269883,A 類,不合格,OP-121,,營運,捷欣,83,80.72
7月15日,L260218,B 類,不合格,OP-117,,品保,力鋼,190,35.12
6月3日,L261464,A 類,合格,OP-133,,營運,永利,138,84.71
2026/6/16,L260010,A 類,待處理,OP-109,,營運,捷欣,22,27.92
0618,L267748,B 類,已結案,OP-128,已回報,資材,順發,221,39.96
2026/7/20,L264369,A 類,,OP-104,待確認,研發,順發,208,53.95
0628,L267963,A 類,合格,OP-112,,品保,大宏,81,28.85
6月26日,L260487,B 類,不合格,OP-135,,營運,力鋼,166,40.75
7月28日,L269826,其他,已結案,OP-120,已回報,品保,力鋼,132,47.83
7月7日,L260874,A 類,不合格,OP-104,已回報,研發,捷欣,58,41.98
2026/6/22,L263677,B 類,已結案,OP-103,已回報,製造,東昇,117,34.64
0608,L268633,C 類,不合格,OP-134,,資材,捷欣,186,48.6
0718,L268276,B 類,合格,OP-136,已回報,營運,永利,14,14.15
0601,L268098,B 類,,OP-123,已回報,品保,順發,80,50.63
2026/6/14,L262239,B 類,合格,OP-142,,營運,力鋼,68,92.72
0721,L269441,A 類,不合格,OP-128,,營運,順發,60,32.78
7月16日,L265759,B 類,合格,OP-120,待確認,品保,力鋼,221,47.65
2026/7/13,L266443,B 類,已結案,OP-132,,營運,力鋼,20300.0,25.04
0627,L268543,B 類,待處理,OP-116,,研發,大宏,190,63.71
0627,L262439,A 類,已結案,OP-131,,研發,東昇,28,38.48
2026/7/6,L262252,A 類,不合格,OP-140,待確認,研發,捷欣,18,71.95
0611,L267989,其他,合格,OP-146,已回報,製造,力鋼,60,87.99
2026/7/19,L264370,C 類,,OP-148,待確認,資材,大宏,138,64.7
0710,L260110,C 類,已結案,OP-106,待確認,營運,大宏,140,78.14
2026/7/23,L269960,其他,,OP-121,已回報,製造,大宏,170,88.02
2026/6/10,L261612,C 類,,OP-123,,製造,力鋼,191,36.42
2026/6/12,L262659,A 類,不合格,OP-135,,資材,永利,136,21.22
0623,L266352,其他,待處理,OP-110,,營運,捷欣,131,22.67
7月30日,L269578,A 類,待處理,OP-113,已回報,資材,順發,172,76.24
0710,L264653,其他,合格,OP-145,已回報,品保,捷欣,97,45.79
2026/6/27,L261362,B 類,已結案,OP-110,,營運,東昇,110,52.03
0601,L261462,B 類,合格,OP-121,,資材,力鋼,220,54.51
0621,L268110,A 類,,OP-127,,製造,順發,46,92.17
0702,L269552,其他,,OP-114,,營運,力鋼,95,26.47
2026/6/5,L267322,C 類,,OP-122,待確認,資材,順發,74,83.44
2026/7/28,L266695,B 類,合格,OP-129,已回報,營運,永利,64,73.85
6月9日,L263381,B 類,已結案,OP-131,,製造,順發,37,36.08
7月2日,L264593,C 類,待處理,OP-115,已回報,品保,東昇,210,21.65
7月25日,L269791,B 類,不合格,OP-134,,資材,大宏,240,88.63
0723,L268268,A 類,已結案,OP-133,,資材,順發,16,2.61
6月29日,L265747,B 類,,OP-104,已回報,營運,順發,210,88.02
0622,L269345,B 類,已結案,OP-124,,資材,捷欣,40,69.01
6月23日,L260961,A 類,不合格,OP-110,,營運,順發,178,43.57
7月17日,L263585,其他,已結案,OP-138,,資材,力鋼,232,97.79
6月2日,L264587,C 類,不合格,OP-145,待確認,營運,力鋼,234,9.09
2026/6/19,L262059,C 類,,OP-108,,製造,大宏,143,40.48
7月30日,L261328,其他,合格,OP-103,,資材,力鋼,42,50.59
2026/7/13,L262542,B 類,合格,OP-114,已回報,營運,捷欣,216,86.14
7月7日,L267376,B 類,已結案,OP-144,待確認,資材,大宏,30,88.71
0604,L266010,其他,合格,OP-133,,研發,大宏,117,62.02
2026/6/2,L263459,其他,不合格,OP-119,待確認,營運,永利,134,75.11
0722,L267466,A 類,,OP-146,待確認,品保,大宏,94,54.64
2026/6/6,L260775,C 類,不合格,OP-102,待確認,營運,捷欣,65,77.56
6月24日,L264925,B 類,待處理,OP-143,,品保,順發,211,96.51
2026/6/20,L269958,其他,不合格,OP-135,,營運,東昇,66,68.96
2026/7/18,L269323,B 類,待處理,OP-138,已回報,品保,捷欣,79,97.11
0629,L265318,B 類,待處理,OP-143,待確認,營運,捷欣,65,82.06
0606,L267391,C 類,,OP-135,,品保,永利,41,69.73
2026/7/21,L263257,B 類,已結案,OP-134,待確認,製造,力鋼,15300.0,9.14
0629,L262169,A 類,,OP-145,,營運,永利,170,92.9
7月6日,L265999,其他,已結案,OP-130,,研發,大宏,173,6.33
6月21日,L264767,其他,合格,OP-128,已回報,製造,永利,194,74.55
6月28日,L269346,C 類,,OP-104,已回報,營運,順發,60,61.55
2026/6/14,L268339,B 類,待處理,OP-111,,營運,永利,188,46.36
2026/7/24,L266234,A 類,,OP-146,,研發,大宏,182,56.12
0629,L261366,B 類,不合格,OP-136,,製造,捷欣,21,54.12
2026/6/21,L269641,其他,待處理,OP-134,,資材,大宏,18,43.61
2026/7/16,L269846,A 類,,OP-130,,品保,捷欣,56,36.72
0621,L260966,其他,,OP-115,,資材,捷欣,171,75.75
6月12日,L260118,A 類,不合格,OP-135,,製造,東昇,110,29.13
2026/6/2,L269381,A 類,待處理,OP-105,已回報,資材,順發,178,33.97
2026/6/30,L264248,A 類,合格,OP-128,,營運,大宏,45,85.6
6月10日,L263792,其他,不合格,OP-117,已回報,製造,永利,74,24.0
2026/6/3,L261150,C 類,待處理,OP-146,,營運,順發,135,53.77
0702,L263941,C 類,已結案,OP-102,待確認,營運,東昇,53,88.25
0609,L263329,B 類,待處理,OP-133,,資材,順發,147,36.66
2026/6/6,L262156,其他,不合格,OP-147,已回報,品保,捷欣,30,77.45
2026/7/1,L268246,B 類,,OP-111,,資材,東昇,219,57.38
0615,L269548,其他,合格,OP-112,,製造,捷欣,202,22.73
7月4日,L264417,其他,不合格,OP-102,,營運,力鋼,186,87.9
7月18日,L263169,C 類,待處理,OP-107,已回報,品保,捷欣,46,92.07
2026/6/9,L267455,C 類,不合格,OP-117,,製造,東昇,233,41.52
0622,L267253,B 類,合格,OP-112,已回報,資材,永利,202,27.52
6月29日,L268332,C 類,待處理,OP-106,,品保,順發,208,61.94
6月15日,L262881,其他,已結案,OP-137,已回報,資材,永利,11,89.43
2026/7/29,L266925,B 類,,OP-146,,研發,順發,18600.0,86.52
2026/7/13,L266830,其他,,OP-134,,研發,東昇,38,89.26
2026/7/28,L265054,B 類,合格,OP-129,待確認,資材,順發,207,60.76
2026/7/5,L267264,其他,不合格,OP-125,,資材,大宏,93,93.19
2026/7/19,L265060,B 類,待處理,OP-115,,營運,永利,61,80.06
7月17日,L261075,A 類,合格,OP-125,,營運,永利,210,70.78
6月16日,L269173,C 類,待處理,OP-138,,製造,東昇,39,18.34
7月16日,L261971,A 類,已結案,OP-129,,資材,東昇,208,49.16
2026/7/28,L262535,A 類,,OP-135,待確認,營運,捷欣,6,23.21
2026/6/11,L264842,C 類,合格,OP-139,待確認,研發,大宏,219,44.05
2026/6/3,L262016,C 類,,OP-113,,研發,力鋼,206,53.38
2026/6/19,L269124,其他,,OP-112,已回報,營運,永利,81,19.4
0616,L267035,其他,已結案,OP-109,,營運,永利,164,75.64
2026/7/2,L263038,B 類,待處理,OP-132,已回報,資材,大宏,238,22.34
2026/7/20,L266547,A 類,,OP-125,待確認,研發,捷欣,206,21.07
2026/7/22,L261465,C 類,待處理,OP-114,,品保,順發,228,12.88
7月22日,L269445,A 類,,OP-123,,品保,永利,227,48.89
0608,L262059,其他,,OP-107,,資材,力鋼,73,53.71
2026/7/22,L263448,其他,,OP-101,,資材,東昇,150,69.49
2026/6/17,L265136,B 類,不合格,OP-143,,營運,東昇,69,58.78
2026/6/20,L264619,B 類,已結案,OP-117,,資材,永利,229,92.72
7月19日,L268384,B 類,合格,OP-123,待確認,研發,順發,161,45.36
6月25日,L269740,B 類,已結案,OP-145,,品保,大宏,161,22.31
0716,L269233,C 類,,OP-107,待確認,品保,永利,17,42.61
0726,L267688,A 類,,OP-111,,品保,捷欣,197,97.6
2026/6/29,L261210,A 類,合格,OP-109,,資材,東昇,237,0.78
0623,L265646,C 類,待處理,OP-117,已回報,營運,永利,49,56.37
2026/6/6,L264013,C 類,,OP-137,待確認,營運,永利,228,85.66
7月26日,L263134,A 類,待處理,OP-111,,品保,力鋼,75,93.75
2026/6/3,L269134,其他,不合格,OP-145,待確認,研發,大宏,164,57.87
0704,L267268,其他,不合格,OP-103,已回報,品保,大宏,136,12.19
0712,L263899,其他,合格,OP-133,,資材,捷欣,5,44.26
6月13日,L267693,A 類,待處理,OP-137,,製造,力鋼,104,52.69
2026/7/11,L262224,B 類,,OP-121,,資材,力鋼,168,73.03
2026/6/10,L269853,其他,,OP-119,待確認,製造,力鋼,76,17.48
0627,L262310,A 類,待處理,OP-127,,營運,永利,231,8.63
6月28日,L265562,B 類,合格,OP-132,,營運,永利,141,78.06
7月25日,L264191,其他,合格,OP-106,已回報,品保,大宏,6,72.69
2026/6/30,L262623,A 類,已結案,OP-108,,資材,東昇,121,37.27
6月12日,L264741,A 類,不合格,OP-116,,製造,東昇,150,37.54
6月22日,L266477,A 類,待處理,OP-105,,研發,順發,191,90.77
0713,L263935,B 類,合格,OP-106,,研發,捷欣,196,4.69
0730,L261368,B 類,,OP-147,,資材,大宏,140,7.97
7月14日,L269848,B 類,不合格,OP-124,,品保,永利,135,41.56
2026/7/29,L268984,C 類,待處理,OP-129,,營運,永利,66,17.46
0727,L267342,C 類,已結案,OP-134,待確認,製造,大宏,171,20.55
2026/7/7,L263836,其他,已結案,OP-108,,營運,捷欣,149,10.66
6月2日,L267233,A 類,已結案,OP-122,待確認,營運,捷欣,80,80.72
0716,L265989,C 類,合格,OP-139,,製造,永利,165,80.99
2026/6/28,L267457,A 類,待處理,OP-106,,研發,力鋼,55,54.69
7月13日,L269662,C 類,待處理,OP-144,,研發,順發,162,46.1
2026/6/13,L263925,B 類,合格,OP-121,,製造,力鋼,196,2.56
2026/6/26,L264558,B 類,合格,OP-119,,資材,捷欣,155,93.46
2026/6/6,L264278,A 類,合格,OP-140,,品保,捷欣,109,61.13
0603,L265449,B 類,合格,OP-123,,研發,順發,7,74.81
6月18日,L261813,A 類,合格,OP-109,,研發,捷欣,213,59.33
0714,L262262,其他,已結案,OP-148,,品保,順發,134,76.62
0720,L263447,B 類,待處理,OP-122,已回報,研發,東昇,4,61.46
2026/7/9,L267560,A 類,待處理,OP-103,,製造,東昇,163,24.17
7月1日,L269459,C 類,,OP-131,待確認,營運,大宏,73,74.4
6月20日,L261272,其他,,OP-129,,品保,東昇,115,38.73
7月30日,L262921,B 類,已結案,OP-128,已回報,研發,順發,79,31.9
7月30日,L268938,B 類,,OP-108,,品保,永利,129,73.54
0706,L263450,B 類,,OP-112,,營運,大宏,88,93.61
7月16日,L268094,B 類,不合格,OP-135,,營運,力鋼,14,43.55
7月24日,L261499,A 類,,OP-117,,資材,捷欣,119,72.55
2026/6/8,L266698,A 類,待處理,OP-116,已回報,品保,永利,232,38.54
7月6日,L267965,A 類,合格,OP-135,待確認,研發,永利,130,52.53
0711,L266129,C 類,,OP-120,已回報,品保,順發,118,34.94
2026/6/23,L263069,B 類,,OP-111,,製造,大宏,171,17.05
7月21日,L261543,B 類,合格,OP-125,,營運,永利,232,34.12
0607,L260028,A 類,合格,OP-119,,資材,力鋼,227,66.6
7月22日,L267539,A 類,,OP-123,待確認,營運,力鋼,60,45.0
2026/6/20,L269662,其他,合格,OP-134,,資材,順發,120,62.75
7月25日,L261999,B 類,不合格,OP-118,,品保,永利,10,28.92
6月2日,L268762,B 類,已結案,OP-120,,製造,東昇,209,49.85
7月17日,L267529,A 類,合格,OP-122,待確認,資材,東昇,217,89.83
0710,L264449,C 類,已結案,OP-118,,營運,捷欣,71,14.28
2026/6/20,L268580,A 類,待處理,OP-141,,品保,力鋼,175,76.25
2026/7/1,L263146,A 類,,OP-128,,研發,永利,5,57.45
6月4日,L261186,其他,,OP-141,已回報,製造,順發,90,67.87
2026/6/19,L267142,C 類,已結案,OP-121,已回報,營運,大宏,169,22.26
7月28日,L268018,B 類,,OP-111,待確認,營運,順發,176,22.36
0601,L265829,其他,待處理,OP-147,,研發,東昇,230,88.56
0616,L266629,其他,,OP-132,已回報,品保,順發,224,97.57
2026/6/16,L269036,A 類,待處理,OP-118,已回報,製造,順發,116,64.48
0713,L266928,C 類,不合格,OP-132,已回報,品保,永利,19,39.86
7月9日,L267796,C 類,,OP-137,,營運,順發,124,4.51
6月12日,L261416,B 類,待處理,OP-123,,研發,永利,82,60.28
2026/7/24,L264327,C 類,待處理,OP-128,,資材,順發,164,81.68
2026/6/7,L264087,其他,已結案,OP-113,,營運,力鋼,78,87.79
2026/6/7,L264239,B 類,待處理,OP-127,,營運,東昇,63,50.59
0715,L261613,B 類,,OP-104,已回報,品保,捷欣,106,53.85
0625,L264566,其他,,OP-105,,資材,東昇,72,80.3
0718,L269956,C 類,已結案,OP-124,已回報,品保,永利,188,92.4
7月12日,L267741,其他,,OP-142,已回報,製造,東昇,194,68.52
7月27日,L261964,C 類,,OP-127,,製造,力鋼,172,48.9
0621,L269691,C 類,合格,OP-107,,資材,捷欣,12,19.02
0719,L267114,其他,合格,OP-125,已回報,資材,大宏,83,92.83
7月25日,L267860,C 類,已結案,OP-106,待確認,營運,東昇,237,16.64
6月11日,L260416,C 類,不合格,OP-123,,品保,永利,116,88.25
0709,L262490,A 類,不合格,OP-108,,品保,順發,146,11.42
2026/7/20,L267369,C 類,不合格,OP-140,,製造,捷欣,206,54.57
0724,L268876,A 類,,OP-143,已回報,品保,力鋼,131,92.19
0708,L262643,C 類,,OP-105,,研發,永利,47,47.04
6月10日,L265447,B 類,不合格,OP-144,待確認,資材,力鋼,96,20.13
6月17日,L269175,C 類,待處理,OP-106,,製造,永利,136,47.79
0705,L269298,C 類,,OP-130,已回報,製造,力鋼,162,7.32
6月10日,L269092,其他,待處理,OP-135,待確認,製造,大宏,146,46.8
6月24日,L269926,A 類,已結案,OP-120,,研發,順發,165,73.96
0604,L263276,B 類,合格,OP-133,待確認,營運,永利,160,82.81
2026/7/30,L268952,B 類,合格,OP-145,,研發,力鋼,214,3.85
6月19日,L261846,A 類,,OP-107,,品保,力鋼,29,17.19
6月3日,L261134,B 類,待處理,OP-134,,研發,力鋼,96,44.07
7月17日,L268966,其他,已結案,OP-144,,品保,順發,73,12.22
2026/7/23,L261235,A 類,已結案,OP-112,已回報,研發,大宏,235,5.26
0711,L268790,A 類,已結案,OP-114,待確認,製造,順發,149,29.45
7月28日,L261029,A 類,不合格,OP-104,,品保,捷欣,185,8.61
0623,L264041,其他,不合格,OP-123,,資材,永利,86,28.97
2026/6/1,L266145,B 類,,OP-102,已回報,資材,力鋼,178,5.1
6月29日,L265530,A 類,合格,OP-125,待確認,研發,力鋼,231,23.48
0713,L261722,其他,,OP-125,,資材,大宏,66,75.78
6月29日,L260890,A 類,,OP-122,,製造,大宏,16700.0,20.85
2026/7/19,L260736,其他,,OP-142,已回報,製造,力鋼,21,78.34
2026/6/25,L263488,A 類,待處理,OP-110,已回報,研發,力鋼,169,90.8
6月2日,L261212,B 類,不合格,OP-144,已回報,研發,永利,239,34.34
2026/7/16,L269371,其他,,OP-143,,品保,捷欣,185,8.9
2026/7/7,L265548,其他,合格,OP-148,,品保,順發,201,47.35
0619,L262097,C 類,合格,OP-129,,研發,捷欣,67,63.98
2026/7/22,L268349,其他,不合格,OP-119,,資材,永利,205,7.63
0615,L263959,B 類,合格,OP-107,,資材,捷欣,178,84.1
2026/6/12,L265227,A 類,待處理,OP-114,待確認,研發,力鋼,42,65.47
0613,L262851,B 類,合格,OP-122,,製造,力鋼,112,19.88
2026/6/25,L260883,C 類,不合格,OP-117,,製造,永利,190,34.49
6月29日,L269767,其他,,OP-131,待確認,資材,力鋼,137,1.49
2026/7/10,L264966,A 類,不合格,OP-117,,資材,大宏,9,2.25
7月25日,L265160,B 類,,OP-121,已回報,營運,大宏,46,68.36
0723,L266385,A 類,合格,OP-129,,品保,大宏,79,64.8
2026/7/25,L269322,C 類,不合格,OP-115,,研發,順發,177,12.21
2026/6/22,L267475,C 類,不合格,OP-113,,資材,東昇,194,44.23
0727,L265652,其他,待處理,OP-123,待確認,研發,力鋼,175,52.29
6月28日,L266561,B 類,,OP-121,已回報,資材,力鋼,13,79.87
0602,L266527,B 類,,OP-136,,資材,大宏,200,19.17
2026/7/11,L261023,其他,合格,OP-124,,品保,永利,6,80.55
7月7日,L269495,其他,,OP-103,,製造,力鋼,187,84.75
6月19日,L265429,C 類,,OP-146,,研發,捷欣,122,61.0
0715,L261798,C 類,合格,OP-108,待確認,營運,大宏,83,37.59
2026/6/15,L263655,B 類,已結案,OP-142,待確認,資材,大宏,190,44.11
0724,L262861,A 類,不合格,OP-104,已回報,營運,東昇,149,82.6
2026/7/1,L265419,其他,不合格,OP-104,,資材,捷欣,129,62.99
0724,L260560,B 類,待處理,OP-143,,製造,永利,133,67.73
2026/6/17,L261332,C 類,不合格,OP-143,,研發,順發,86,84.57
7月17日,L269629,B 類,已結案,OP-132,待確認,品保,永利,180,55.08
7月28日,L263527,A 類,不合格,OP-101,待確認,營運,順發,19,15.34
6月10日,L267758,A 類,,OP-114,,營運,捷欣,229,95.94
0728,L268074,C 類,,OP-107,,營運,永利,147,39.87
6月3日,L262580,B 類,待處理,OP-125,,製造,順發,91,30.86
6月17日,L260640,A 類,不合格,OP-129,待確認,營運,力鋼,145,1.61
0709,L268328,B 類,合格,OP-128,,營運,大宏,217,90.8
7月1日,L268262,其他,合格,OP-122,,製造,永利,107,21.26
2026/6/29,L268588,C 類,,OP-126,待確認,資材,力鋼,228,71.42
0724,L264622,A 類,合格,OP-114,已回報,資材,捷欣,159,13.85
0701,L268678,C 類,,OP-145,,品保,力鋼,28,11.39
2026/7/18,L260349,其他,待處理,OP-141,已回報,品保,永利,15,94.6
0710,L266468,C 類,已結案,OP-138,,研發,永利,100,41.35
2026/6/13,L269518,A 類,待處理,OP-144,,資材,捷欣,155,25.84
0709,L269384,C 類,已結案,OP-134,已回報,品保,永利,94,41.95
2026/7/13,L266225,B 類,待處理,OP-121,,資材,東昇,43,7.83
7月16日,L266461,B 類,,OP-125,已回報,資材,順發,75,31.68
0620,L260966,其他,,OP-137,待確認,品保,大宏,25,3.52
2026/7/19,L269893,其他,不合格,OP-116,待確認,資材,力鋼,57,29.81
0718,L269854,其他,待處理,OP-122,,品保,力鋼,157,45.86
2026/7/5,L266074,C 類,不合格,OP-103,,研發,順發,56,63.66
2026/6/21,L263139,B 類,合格,OP-105,,資材,永利,214,86.24
6月7日,L264464,A 類,已結案,OP-140,,資材,永利,119,52.68
2026/6/13,L265699,其他,,OP-148,,製造,永利,53,97.49
7月29日,L263462,A 類,待處理,OP-136,,營運,順發,36,71.16
2026/7/30,L267348,其他,,OP-137,待確認,研發,永利,198,19.0
7月8日,L262634,A 類,,OP-123,,製造,永利,142,22.89
0713,L260665,其他,,OP-137,待確認,製造,順發,161,93.47
0622,L268593,A 類,,OP-108,,資材,大宏,172,24.73
7月9日,L260279,C 類,合格,OP-120,已回報,製造,力鋼,182,40.06
6月19日,L262422,A 類,,OP-101,,製造,永利,3,13.05
