日期,編號,項目,狀態,負責人,備註,單位,客戶,耗時分鐘,金額
2025-07-13,L269142,A 類,不合格,OP-109,待確認,營運,永利,145,64.85
2025-07-27,L263777,C 類,待處理,OP-147,,品保,捷欣,200,54.34
2025-07-07,L265912,其他,已結案,OP-130,,研發,捷欣,81,39.7
2025-06-04,L261188,A 類,不合格,OP-137,,研發,順發,135,73.93
2025-07-25,L265460,B 類,不合格,OP-106,,資材,大宏,3,9.15
2025-07-14,L262656,A 類,不合格,OP-144,已回報,營運,大宏,31,82.26
2025-06-07,L268438,B 類,不合格,OP-118,待確認,營運,捷欣,200,76.46
2025-06-25,L268288,其他,不合格,OP-126,,品保,捷欣,27,80.98
2025-07-17,L260654,其他,待處理,OP-133,,研發,捷欣,101,71.27
2025-06-11,L269487,B 類,待處理,OP-122,,品保,東昇,152,45.05
2025-06-21,L261243,其他,不合格,OP-123,,品保,力鋼,240,85.73
2025-07-17,L269920,C 類,待處理,OP-106,,品保,捷欣,40,77.9
2025-06-22,L260882,其他,合格,OP-117,待確認,營運,大宏,22,7.19
2025-07-06,L264114,其他,待處理,OP-101,已回報,品保,東昇,202,32.42
2025-07-23,L263048,B 類,不合格,OP-138,,研發,東昇,88,59.93
2025-07-18,L268111,其他,待處理,OP-126,,品保,捷欣,163,35.03
2025-06-04,L263788,B 類,待處理,OP-141,,資材,東昇,47,4.02
2025-06-17,L266243,B 類,合格,OP-140,待確認,製造,永利,3,30.93
2025-06-07,L268393,A 類,不合格,OP-129,,營運,東昇,69,74.86
2025-06-22,L263982,其他,不合格,OP-136,,製造,順發,42,36.93
2025-07-06,L265283,其他,待處理,OP-139,待確認,品保,東昇,136,50.61
2025-07-30,L267048,其他,已結案,OP-142,,營運,永利,180,6.03
2025-06-30,L267429,B 類,合格,OP-132,待確認,資材,東昇,8,3.18
2025-07-03,L265971,C 類,合格,OP-126,,研發,永利,66,95.63
2025-07-19,L267765,A 類,已結案,OP-144,,資材,東昇,47,63.5
2025-06-15,L261015,C 類,合格,OP-106,,品保,大宏,196,89.94
2025-07-15,L269033,C 類,已結案,OP-145,已回報,製造,東昇,145,63.06
2025-07-05,L268574,B 類,已結案,OP-142,,營運,順發,88,37.98
2025-07-29,L262093,C 類,待處理,OP-125,已回報,製造,捷欣,124,5.61
2025-06-29,L268150,A 類,合格,OP-116,待確認,資材,大宏,236,85.47
2025-06-16,L261865,其他,已結案,OP-135,,研發,力鋼,60,55.08
2025-07-28,L265015,其他,不合格,OP-137,,品保,東昇,41,65.66
2025-07-01,L269442,B 類,待處理,OP-148,,製造,順發,181,19.94
2025-06-04,L267556,C 類,合格,OP-137,,資材,捷欣,156,60.19
2025-06-30,L265615,A 類,合格,OP-122,,資材,東昇,149,39.82
2025-06-28,L265772,B 類,已結案,OP-134,,營運,力鋼,206,30.54
2025-06-04,L263524,其他,待處理,OP-104,,製造,順發,179,48.39
2025-06-09,L261092,B 類,待處理,OP-124,待確認,製造,東昇,220,65.87
2025-07-20,L263260,其他,已結案,OP-121,待確認,營運,大宏,139,40.57
2025-07-21,L262144,B 類,不合格,OP-142,已回報,營運,永利,166,0.71
2025-07-15,L261423,B 類,已結案,OP-105,,製造,永利,149,36.01
2025-07-11,L267632,A 類,待處理,OP-132,,資材,永利,165,68.22
2025-07-19,L264024,C 類,待處理,OP-117,已回報,研發,力鋼,63,15.09
2025-06-08,L260328,C 類,合格,OP-106,,研發,永利,98,6.59
2025-06-24,L266698,A 類,合格,OP-125,已回報,研發,東昇,149,9.37
2025-07-25,L263189,B 類,已結案,OP-109,待確認,製造,永利,134,76.16
2025-07-05,L265566,A 類,待處理,OP-131,,品保,大宏,226,5.58
2025-06-13,L260932,C 類,待處理,OP-106,,品保,大宏,133,96.03
2025-06-29,L267768,B 類,不合格,OP-136,已回報,營運,永利,193,12.6
2025-07-14,L266023,C 類,不合格,OP-147,,研發,順發,2,3.24
2025-07-27,L268962,C 類,待處理,OP-134,,資材,順發,77,38.16
2025-06-21,L265431,B 類,合格,OP-135,已回報,品保,順發,190,97.74
2025-07-20,L268719,其他,待處理,OP-121,待確認,營運,捷欣,142,76.83
2025-06-26,L267913,B 類,待處理,OP-117,已回報,品保,力鋼,155,20.28
2025-06-25,L268135,B 類,待處理,OP-139,,品保,順發,146,89.22
2025-07-25,L267828,A 類,已結案,OP-135,已回報,品保,東昇,238,80.29
2025-07-17,L267792,A 類,不合格,OP-111,待確認,資材,東昇,39,81.94
2025-07-02,L268457,B 類,已結案,OP-131,已回報,製造,力鋼,53,87.35
2025-07-30,L264188,其他,已結案,OP-121,待確認,品保,順發,91,82.58
2025-06-28,L263542,C 類,已結案,OP-121,已回報,製造,捷欣,78,0.88
2025-07-02,L265641,B 類,不合格,OP-128,,製造,捷欣,200,82.53
2025-06-01,L266231,其他,待處理,OP-102,已回報,品保,力鋼,212,76.46
2025-07-06,L267814,C 類,合格,OP-144,,資材,大宏,86,9.8
2025-06-04,L262599,B 類,合格,OP-121,已回報,研發,順發,51,44.61
2025-06-16,L269536,B 類,不合格,OP-148,,營運,力鋼,26,46.34
2025-07-06,L260196,C 類,待處理,OP-143,,資材,大宏,35,32.78
2025-07-19,L268586,B 類,待處理,OP-127,,品保,永利,165,91.3
2025-07-26,L264398,其他,不合格,OP-121,待確認,研發,東昇,46,22.84
2025-07-03,L267476,B 類,待處理,OP-134,已回報,品保,力鋼,216,62.95
2025-06-10,L266926,B 類,待處理,OP-117,已回報,資材,東昇,209,78.14
2025-07-09,L262817,A 類,待處理,OP-144,已回報,製造,大宏,208,18.02
2025-06-25,L269750,C 類,已結案,OP-136,,品保,捷欣,239,50.83
2025-07-30,L264930,其他,合格,OP-107,已回報,研發,大宏,178,11.98
2025-06-24,L261936,B 類,待處理,OP-102,待確認,製造,永利,87,44.8
2025-07-03,L261454,其他,不合格,OP-142,,營運,大宏,81,38.04
2025-07-18,L263093,其他,合格,OP-132,,營運,大宏,225,30.01
2025-07-11,L263644,A 類,已結案,OP-125,,資材,順發,169,12.02
2025-06-14,L267466,B 類,已結案,OP-148,已回報,研發,力鋼,124,44.84
2025-06-01,L269924,其他,不合格,OP-143,,品保,大宏,195,36.45
2025-06-15,L269164,C 類,已結案,OP-128,待確認,研發,力鋼,3,69.09
2025-06-04,L264996,A 類,不合格,OP-107,待確認,研發,捷欣,112,86.01
2025-06-10,L260823,其他,不合格,OP-118,,營運,大宏,68,76.52
2025-06-15,L265293,其他,已結案,OP-107,待確認,營運,大宏,59,58.26
2025-07-19,L262531,其他,已結案,OP-119,,品保,力鋼,159,81.28
2025-07-28,L260186,B 類,合格,OP-147,待確認,製造,東昇,14,80.3
2025-06-29,L267142,A 類,合格,OP-123,,製造,力鋼,203,95.12
2025-07-15,L263827,C 類,合格,OP-134,,資材,順發,147,52.83
2025-06-08,L268075,B 類,待處理,OP-133,,營運,力鋼,187,53.71
2025-07-05,L264953,A 類,不合格,OP-116,待確認,製造,永利,107,76.64
2025-06-04,L263491,C 類,不合格,OP-103,,製造,順發,151,27.86
2025-06-30,L260518,B 類,合格,OP-123,,品保,永利,87,69.21
2025-07-12,L265817,C 類,不合格,OP-133,已回報,製造,捷欣,99,12.8
2025-06-30,L260169,B 類,不合格,OP-144,,研發,大宏,211,60.28
2025-06-28,L267458,C 類,合格,OP-129,已回報,資材,力鋼,26,49.12
2025-06-08,L263037,A 類,不合格,OP-108,,營運,捷欣,85,39.08
2025-07-16,L262080,B 類,合格,OP-138,已回報,研發,大宏,175,67.94
2025-07-14,L269025,A 類,不合格,OP-138,待確認,研發,永利,32,72.25
2025-06-07,L266682,其他,已結案,OP-118,待確認,研發,捷欣,190,56.04
2025-06-12,L262593,其他,合格,OP-112,,品保,順發,187,49.27
2025-06-15,L269496,B 類,已結案,OP-136,,資材,力鋼,10,49.09
2025-06-09,L263096,A 類,合格,OP-145,,製造,順發,185,66.69
2025-06-27,L262826,B 類,合格,OP-146,待確認,品保,力鋼,182,87.13
2025-06-10,L268489,C 類,合格,OP-101,待確認,品保,順發,168,17.02
2025-06-09,L263153,B 類,已結案,OP-134,,研發,力鋼,41,90.47
2025-07-22,L268456,A 類,已結案,OP-122,,營運,東昇,171,41.19
2025-07-02,L267577,其他,合格,OP-107,,研發,大宏,239,96.4
2025-06-22,L266296,其他,待處理,OP-135,已回報,營運,力鋼,239,27.76
2025-07-25,L263219,其他,不合格,OP-104,已回報,製造,永利,13,95.99
2025-06-07,L260343,其他,已結案,OP-127,,研發,永利,70,51.23
2025-07-19,L262210,C 類,已結案,OP-119,,營運,大宏,182,76.29
2025-06-06,L263138,A 類,已結案,OP-129,,研發,大宏,103,37.78
2025-06-03,L263429,B 類,待處理,OP-104,,資材,東昇,132,95.62
2025-07-18,L265535,C 類,待處理,OP-121,,品保,大宏,46,0.33
2025-06-05,L265839,B 類,不合格,OP-105,,營運,永利,227,57.34
2025-07-26,L262962,A 類,已結案,OP-101,,品保,力鋼,225,2.41
2025-07-27,L266671,A 類,不合格,OP-106,待確認,品保,大宏,9,54.41
2025-07-03,L262798,B 類,待處理,OP-138,待確認,研發,順發,104,21.94
2025-07-23,L269783,B 類,待處理,OP-117,已回報,品保,捷欣,77,39.82
2025-06-09,L264148,A 類,待處理,OP-141,待確認,資材,順發,134,43.64
2025-07-18,L268259,A 類,不合格,OP-108,已回報,資材,永利,144,21.11
2025-07-28,L269717,B 類,合格,OP-137,,研發,東昇,121,44.18
2025-06-06,L264512,C 類,待處理,OP-122,,製造,永利,89,24.65
2025-07-20,L266159,C 類,合格,OP-133,,製造,大宏,167,36.38
2025-06-05,L265180,B 類,不合格,OP-124,,品保,捷欣,65,78.46
2025-07-27,L268951,其他,不合格,OP-129,已回報,製造,東昇,195,63.96
2025-06-12,L261480,B 類,待處理,OP-119,已回報,研發,力鋼,238,36.51
2025-07-06,L261957,B 類,合格,OP-144,,品保,力鋼,216,31.22
2025-06-26,L261891,其他,合格,OP-104,,品保,永利,205,49.41
2025-06-27,L268424,B 類,已結案,OP-140,,研發,捷欣,47,16.62
2025-06-05,L265886,其他,不合格,OP-120,,研發,東昇,198,0.56
2025-06-21,L267796,B 類,待處理,OP-120,,資材,永利,114,33.33
2025-06-25,L266875,其他,合格,OP-122,已回報,研發,大宏,204,18.54
2025-07-07,L264092,C 類,已結案,OP-118,已回報,營運,順發,185,7.72
2025-07-09,L264797,B 類,待處理,OP-138,已回報,品保,大宏,237,31.37
2025-06-11,L265242,A 類,待處理,OP-129,,製造,永利,53,20.03
2025-07-06,L267347,C 類,待處理,OP-128,,營運,順發,40,78.47
2025-07-14,L263540,C 類,合格,OP-144,已回報,資材,力鋼,100,91.95
2025-06-13,L266570,其他,合格,OP-124,已回報,製造,順發,145,84.38
2025-07-26,L262460,B 類,待處理,OP-136,待確認,營運,永利,22,21.4
2025-07-10,L263745,其他,不合格,OP-144,待確認,品保,大宏,19,79.7
2025-07-07,L266562,A 類,已結案,OP-104,待確認,品保,順發,134,88.87
2025-06-27,L260634,A 類,合格,OP-111,,研發,永利,35,31.09
2025-06-14,L269647,A 類,合格,OP-128,待確認,資材,永利,184,77.36
2025-07-30,L261231,A 類,已結案,OP-146,,品保,順發,53,94.26
2025-06-09,L266128,其他,待處理,OP-104,已回報,研發,捷欣,185,49.03
2025-07-23,L260642,C 類,合格,OP-119,,營運,捷欣,210,58.31
2025-06-09,L260169,A 類,待處理,OP-143,,研發,永利,95,47.15
2025-06-10,L261023,C 類,待處理,OP-142,,製造,永利,60,26.81
2025-06-24,L268137,C 類,合格,OP-108,待確認,營運,捷欣,58,51.56
2025-06-23,L260928,B 類,待處理,OP-133,,品保,順發,157,61.22
2025-07-26,L265314,A 類,已結案,OP-101,已回報,品保,東昇,138,52.2
2025-07-16,L266621,其他,已結案,OP-136,待確認,研發,捷欣,56,32.25
2025-07-23,L262536,B 類,合格,OP-111,,製造,大宏,31,23.61
2025-07-19,L266366,A 類,不合格,OP-143,,品保,捷欣,196,52.3
2025-06-24,L266262,其他,待處理,OP-133,已回報,研發,東昇,37,73.83
2025-06-24,L265739,B 類,不合格,OP-144,,製造,大宏,3,88.31
2025-06-10,L261488,C 類,合格,OP-142,,資材,捷欣,123,76.15
2025-07-29,L262721,其他,待處理,OP-131,,品保,東昇,211,71.25
2025-07-14,L266479,A 類,不合格,OP-136,,品保,東昇,239,6.72
2025-07-04,L260499,A 類,不合格,OP-145,,製造,大宏,10,35.44
2025-07-25,L269287,B 類,不合格,OP-134,,資材,力鋼,26,74.68
2025-07-25,L266886,A 類,待處理,OP-134,,資材,順發,227,56.19
2025-07-15,L269893,A 類,不合格,OP-135,,資材,捷欣,3,4.58
2025-06-30,L260929,C 類,待處理,OP-145,待確認,營運,順發,227,82.08
2025-07-14,L269092,其他,待處理,OP-104,,營運,捷欣,3,32.16
2025-06-14,L265843,C 類,待處理,OP-125,,資材,捷欣,86,93.58
2025-06-02,L264369,其他,不合格,OP-143,待確認,製造,力鋼,50,15.43
2025-07-14,L263452,B 類,不合格,OP-133,待確認,製造,捷欣,22,87.61
2025-07-09,L267659,A 類,合格,OP-128,待確認,品保,大宏,174,59.83
2025-07-02,L261981,其他,不合格,OP-113,已回報,研發,永利,27,71.71
2025-07-23,L264754,A 類,不合格,OP-124,已回報,品保,捷欣,100,91.88
2025-06-13,L265787,A 類,不合格,OP-115,待確認,製造,東昇,114,47.51
2025-07-25,L260794,其他,已結案,OP-126,,資材,大宏,25,58.32
2025-06-21,L269182,C 類,已結案,OP-125,待確認,資材,大宏,225,13.59
2025-07-24,L269197,B 類,待處理,OP-148,,品保,力鋼,82,5.36
2025-07-26,L262046,其他,已結案,OP-140,,品保,力鋼,118,8.72
2025-06-07,L268981,B 類,已結案,OP-136,待確認,品保,順發,90,9.63
2025-07-19,L267948,C 類,待處理,OP-103,待確認,製造,捷欣,143,94.02
2025-06-10,L265482,其他,待處理,OP-125,已回報,營運,大宏,120,47.97
2025-07-16,L264470,B 類,待處理,OP-118,待確認,資材,捷欣,126,48.11
2025-06-09,L265758,其他,合格,OP-137,待確認,營運,東昇,53,88.92
2025-07-23,L269510,B 類,合格,OP-101,,研發,永利,59,82.2
2025-07-19,L265955,B 類,待處理,OP-109,待確認,製造,大宏,216,51.69
2025-06-07,L266562,A 類,已結案,OP-148,待確認,營運,東昇,135,34.72
2025-07-30,L266490,B 類,不合格,OP-109,,營運,力鋼,161,23.06
2025-07-04,L260151,其他,待處理,OP-139,,研發,大宏,183,51.18
2025-07-23,L263036,B 類,已結案,OP-117,待確認,製造,大宏,193,74.75
2025-07-12,L269574,C 類,已結案,OP-138,,營運,永利,196,56.47
2025-07-01,L261070,C 類,待處理,OP-109,待確認,資材,大宏,187,90.54
2025-07-14,L263016,C 類,不合格,OP-139,,資材,永利,195,96.6
2025-07-04,L266132,B 類,合格,OP-147,,營運,東昇,22,69.71
2025-06-21,L261954,B 類,待處理,OP-116,待確認,品保,大宏,43,79.65
2025-07-16,L262365,C 類,已結案,OP-138,,製造,大宏,6,59.73
2025-06-24,L260155,C 類,已結案,OP-102,,製造,東昇,181,92.76
2025-06-13,L260929,A 類,待處理,OP-118,,資材,永利,78,29.05
2025-07-11,L265727,C 類,合格,OP-144,待確認,品保,順發,5,22.54
2025-07-02,L260039,其他,不合格,OP-116,,營運,東昇,121,64.64
2025-06-06,L269789,其他,合格,OP-114,已回報,營運,大宏,160,33.71
2025-07-01,L267132,A 類,已結案,OP-104,待確認,研發,大宏,145,34.48
2025-07-01,L264189,其他,合格,OP-120,,品保,大宏,24,90.22
2025-07-12,L268554,B 類,已結案,OP-146,,研發,東昇,25,8.45
2025-07-13,L264257,B 類,合格,OP-130,已回報,營運,東昇,5,25.0
2025-06-28,L262990,B 類,合格,OP-133,已回報,製造,捷欣,96,6.67
2025-07-01,L265272,C 類,合格,OP-145,,品保,永利,204,86.29
2025-06-11,L263268,其他,已結案,OP-145,待確認,營運,大宏,26,80.97
2025-07-06,L269571,其他,待處理,OP-135,,資材,東昇,141,84.94
2025-06-17,L269670,A 類,已結案,OP-104,,研發,東昇,239,1.76
2025-07-26,L265748,B 類,已結案,OP-148,已回報,營運,永利,75,90.94
2025-06-24,L267072,C 類,待處理,OP-145,,製造,順發,146,85.61
2025-06-16,L267789,A 類,不合格,OP-136,,資材,大宏,172,94.2
2025-07-23,L262831,B 類,已結案,OP-119,,資材,永利,209,12.8
2025-07-20,L260240,A 類,已結案,OP-113,,資材,東昇,161,55.57
2025-06-27,L261936,C 類,合格,OP-119,,資材,大宏,201,79.21
2025-07-27,L265328,B 類,不合格,OP-138,,營運,永利,103,50.76
2025-06-03,L267732,B 類,待處理,OP-115,,資材,東昇,98,1.31
2025-06-26,L268063,A 類,已結案,OP-126,,營運,順發,99,75.69
2025-07-23,L269032,A 類,合格,OP-123,待確認,製造,大宏,221,10.35
2025-07-12,L261131,其他,不合格,OP-121,,製造,捷欣,105,33.84
2025-07-13,L262784,B 類,待處理,OP-108,待確認,製造,順發,188,30.71
2025-07-05,L265597,其他,不合格,OP-136,,品保,順發,56,33.35
2025-07-10,L268794,B 類,合格,OP-138,,資材,順發,123,40.23
2025-07-25,L264040,A 類,不合格,OP-129,,品保,永利,59,24.51
2025-06-16,L261088,B 類,待處理,OP-135,,資材,力鋼,136,31.26
2025-07-03,L264968,C 類,已結案,OP-113,已回報,研發,力鋼,18,77.58
2025-06-05,L263224,C 類,待處理,OP-122,待確認,品保,力鋼,57,46.93
2025-07-28,L267674,C 類,待處理,OP-113,,研發,東昇,67,74.22
2025-06-06,L260357,其他,合格,OP-146,,研發,永利,168,53.35
2025-06-26,L265891,其他,已結案,OP-111,,研發,東昇,110,56.78
2025-07-21,L265596,B 類,不合格,OP-122,待確認,品保,捷欣,126,90.98
2025-06-25,L263065,B 類,待處理,OP-123,,營運,東昇,220,97.75
2025-06-26,L264896,B 類,已結案,OP-103,,製造,永利,89,82.33
2025-07-29,L266018,C 類,合格,OP-128,,品保,東昇,203,49.25
2025-06-29,L264681,其他,合格,OP-132,,營運,捷欣,108,8.38
2025-06-29,L262114,其他,已結案,OP-131,,品保,大宏,173,42.61
2025-06-11,L268366,A 類,已結案,OP-125,,營運,永利,90,57.57
2025-06-19,L267798,A 類,已結案,OP-142,已回報,品保,力鋼,37,65.08
2025-07-18,L267271,B 類,待處理,OP-135,待確認,營運,捷欣,240,34.63
2025-07-28,L267728,B 類,不合格,OP-132,,製造,捷欣,4,76.46
2025-06-10,L264014,其他,合格,OP-131,,營運,東昇,18,76.17
2025-06-11,L265373,其他,合格,OP-107,,品保,東昇,186,16.66
2025-07-28,L263689,B 類,不合格,OP-148,已回報,品保,捷欣,228,90.42
2025-06-29,L267035,B 類,已結案,OP-115,已回報,製造,力鋼,133,5.54
2025-07-13,L261745,其他,合格,OP-140,已回報,研發,力鋼,52,90.43
2025-07-10,L262481,A 類,已結案,OP-137,,製造,力鋼,230,13.36
2025-06-15,L260872,A 類,不合格,OP-136,,研發,順發,2,60.51
2025-06-06,L265045,A 類,待處理,OP-122,已回報,資材,順發,135,45.81
2025-07-09,L260446,C 類,合格,OP-141,已回報,研發,東昇,182,15.62
2025-07-23,L264929,C 類,待處理,OP-118,,研發,大宏,51,9.5
2025-06-10,L264772,B 類,不合格,OP-124,待確認,資材,捷欣,101,88.86
2025-06-21,L262435,C 類,待處理,OP-119,待確認,研發,力鋼,28,82.83
2025-06-15,L266947,B 類,合格,OP-102,待確認,品保,東昇,179,57.86
2025-06-03,L261065,A 類,合格,OP-117,已回報,製造,順發,57,73.58
2025-06-10,L265866,其他,待處理,OP-135,已回報,製造,大宏,154,5.48
2025-06-06,L265513,其他,合格,OP-123,,研發,東昇,132,62.1
2025-07-29,L261571,B 類,待處理,OP-122,,資材,順發,232,77.42
2025-06-22,L263199,其他,已結案,OP-124,待確認,研發,順發,171,67.9
2025-06-20,L268870,其他,已結案,OP-135,待確認,製造,大宏,161,86.52
2025-06-14,L268520,A 類,待處理,OP-108,已回報,資材,永利,139,4.75
2025-07-18,L266740,其他,合格,OP-131,,資材,永利,166,13.61
2025-07-10,L261127,其他,不合格,OP-133,,資材,永利,155,5.27
2025-06-10,L263524,其他,不合格,OP-141,,研發,大宏,149,56.8
2025-07-19,L265370,其他,已結案,OP-105,,營運,東昇,236,8.61
2025-06-30,L268758,A 類,待處理,OP-139,已回報,品保,永利,159,5.73
2025-06-26,L261745,B 類,已結案,OP-106,,品保,東昇,16,14.31
2025-07-25,L268944,其他,不合格,OP-137,待確認,資材,大宏,135,4.38
2025-06-10,L265839,其他,不合格,OP-140,待確認,製造,大宏,90,97.74
2025-06-14,L268324,B 類,已結案,OP-139,,營運,捷欣,131,57.98
2025-07-03,L268052,A 類,已結案,OP-148,,研發,順發,154,80.28
2025-07-25,L265867,其他,合格,OP-134,,研發,捷欣,146,85.07
2025-06-13,L265638,A 類,合格,OP-124,,營運,力鋼,191,48.22
2025-07-19,L261776,A 類,合格,OP-138,待確認,研發,東昇,226,55.18
2025-06-30,L260280,C 類,已結案,OP-135,待確認,品保,捷欣,30,6.02
2025-07-26,L268099,B 類,合格,OP-125,待確認,品保,捷欣,149,64.69
2025-07-09,L262582,其他,不合格,OP-115,,資材,永利,202,51.05
2025-07-15,L261417,B 類,合格,OP-144,已回報,品保,大宏,202,79.97
2025-06-14,L266915,其他,合格,OP-123,,營運,捷欣,15,97.93
2025-07-21,L265344,A 類,合格,OP-144,已回報,製造,力鋼,176,74.06
2025-06-22,L267681,C 類,待處理,OP-115,待確認,品保,永利,225,76.02
2025-06-13,L263069,A 類,不合格,OP-124,,研發,力鋼,83,22.52
2025-06-30,L264665,B 類,合格,OP-110,待確認,研發,大宏,199,74.95
2025-07-05,L267769,B 類,已結案,OP-106,已回報,營運,捷欣,184,4.81
2025-07-03,L269690,A 類,合格,OP-120,待確認,製造,大宏,55,48.22
2025-07-02,L265498,其他,已結案,OP-111,待確認,營運,東昇,197,41.38
2025-07-05,L261093,A 類,已結案,OP-127,,研發,永利,75,31.55
2025-07-19,L263329,其他,已結案,OP-109,待確認,營運,東昇,140,31.41
2025-07-07,L262260,C 類,已結案,OP-145,,製造,力鋼,231,5.55
2025-07-21,L268228,C 類,合格,OP-138,,品保,東昇,86,30.32
2025-06-20,L261654,A 類,待處理,OP-128,,營運,力鋼,210,64.35
2025-07-03,L260725,C 類,合格,OP-148,已回報,營運,順發,91,85.23
2025-07-25,L267111,C 類,合格,OP-140,待確認,營運,力鋼,156,34.55
2025-07-19,L262126,B 類,已結案,OP-135,,製造,捷欣,50,52.26
2025-06-15,L264883,B 類,已結案,OP-105,,研發,東昇,185,17.9
2025-06-03,L265331,B 類,不合格,OP-146,,製造,順發,230,87.99
2025-07-28,L260449,其他,待處理,OP-106,待確認,製造,永利,196,59.05
2025-07-17,L263063,其他,合格,OP-147,待確認,品保,永利,76,9.71
2025-07-10,L265254,A 類,已結案,OP-133,已回報,營運,力鋼,33,87.7
2025-06-18,L265679,A 類,不合格,OP-115,待確認,研發,順發,15,40.35
2025-06-16,L268214,C 類,已結案,OP-108,,資材,大宏,216,38.55
2025-06-07,L268913,C 類,不合格,OP-131,,製造,順發,143,9.64
2025-07-25,L266479,其他,合格,OP-112,,營運,東昇,210,2.63
2025-07-30,L265213,A 類,合格,OP-140,待確認,品保,東昇,201,40.02
2025-07-21,L262672,A 類,已結案,OP-132,,研發,大宏,13,41.14
2025-06-01,L262883,其他,不合格,OP-132,已回報,製造,大宏,76,14.61
2025-06-10,L264278,A 類,待處理,OP-104,,研發,東昇,147,76.42
2025-06-16,L266012,A 類,待處理,OP-136,待確認,研發,大宏,130,63.11
2025-06-01,L267290,B 類,不合格,OP-111,,製造,順發,96,30.8
2025-06-24,L265250,B 類,待處理,OP-132,,研發,永利,154,76.7
2025-06-15,L260785,其他,不合格,OP-117,待確認,資材,力鋼,42,95.31
2025-06-23,L265444,B 類,已結案,OP-101,待確認,品保,力鋼,26,5.33
2025-06-21,L263682,B 類,合格,OP-108,已回報,製造,永利,26,86.71
2025-07-26,L262346,其他,合格,OP-109,待確認,研發,順發,72,38.3
2025-06-21,L268575,C 類,已結案,OP-113,,營運,捷欣,67,9.79
2025-07-04,L262225,A 類,不合格,OP-108,,製造,順發,23,34.77
2025-06-28,L268549,其他,已結案,OP-130,,營運,力鋼,192,2.03
2025-06-01,L264918,B 類,已結案,OP-143,,資材,順發,192,3.77
2025-06-01,L265724,A 類,待處理,OP-135,,品保,力鋼,45,21.94
2025-06-28,L261549,B 類,已結案,OP-115,已回報,資材,大宏,69,21.4
